Date,Open,High,Low,Close,"Daily Change %"
28-Mar-2024,12.7,13.18,12.26,12.83,1.02
27-Mar-2024,12.82,13.01,12.53,12.7,-0.94
26-Mar-2024,12.22,13.1,12.09,12.82,4.91
22-Mar-2024,12.51,13.05,11.81,12.22,-2.32
21-Mar-2024,13.47,13.47,12.34,12.51,-7.13
20-Mar-2024,14.11,14.28,13.09,13.47,-4.54
19-Mar-2024,13.9,14.45,13.88,14.11,1.51
18-Mar-2024,13.69,14.62,13.69,13.9,1.53
15-Mar-2024,13.62,14.33,13.59,13.69,0.51
14-Mar-2024,14.43,14.68,13.52,13.62,-5.61
13-Mar-2024,13.64,15.01,13.53,14.43,5.79
12-Mar-2024,14,14.2,13.58,13.64,-2.57
11-Mar-2024,13.61,14.55,13.61,14,2.87
07-Mar-2024,14.3,14.43,13.56,13.61,-4.83
06-Mar-2024,14.38,14.71,13.91,14.3,-0.56
05-Mar-2024,14.92,15.17,14.18,14.38,-3.62
04-Mar-2024,14.99,15.3,14.82,14.92,-0.47
02-Mar-2024,15.24,15.42,13.53,14.99,-1.64
01-Mar-2024,15.57,15.64,15,15.24,-2.12
29-Feb-2024,16.33,16.55,15.37,15.57,-4.65
28-Feb-2024,15.73,16.74,15.31,16.33,3.81
27-Feb-2024,15.6,16,15.53,15.73,0.83
26-Feb-2024,14.97,15.96,13.76,15.6,4.21
23-Feb-2024,15.2,15.44,14.84,14.97,-1.51
22-Feb-2024,15.93,16.15,15.13,15.2,-4.58
21-Feb-2024,16.07,16.31,15.68,15.93,-0.87
20-Feb-2024,16.02,16.36,14.21,16.07,0.31
19-Feb-2024,15.22,16.12,13.7,16.02,5.26
16-Feb-2024,15.23,15.55,14.9,15.22,-0.07
15-Feb-2024,15.44,15.66,15.11,15.23,-1.36
14-Feb-2024,15.81,16.2,15.34,15.44,-2.34
13-Feb-2024,16.06,16.57,15.75,15.81,-1.56
12-Feb-2024,15.45,16.54,15.45,16.06,3.95
09-Feb-2024,15.83,16.33,15.27,15.45,-2.40
08-Feb-2024,15.51,16.03,15.24,15.83,2.06
